id_chord,name,symbol,code
1,quinta,5,1-5
2,mayor,-,1-3-5
3,menor,m,1-3b-5
4,aumentada,+,1-3-5#
5,disminuida,dim,1-3b-5b
6,suspendida,sus4,1-4-5
7,con segunda suspendida,sus2,1-2-5
8,séptima,7,1-3-5-7b
9,séptima con quinta disminuida,7♭5,1-3-5b-7b
10,séptima con quinta aumentada,7♯5,1-3-5#-7b
11,séptima con cuarta suspendida,7sus4,1-4-5-7b
12,menor séptima,m7,1-3b-5-7b
13,menor séptima con quinta bemol,m7♭5,1-3b-5b-7b
14,menor séptima con quinta aumentada,m7♯5,1-3b-5#-7b
15,sexta,6,1-3-5-6
16,menor sexta,m6,1-3b-5-6
17,sexta con cuarta suspendida,6sus4,1-4-5-6
18,séptima mayor,Maj7,1-3-5-7
19,menor séptima mayor,mMaj7,1-3b-5-7
20,sexta con novena (añadida),6/9,1-3-5-6-9
21,menor sexta con novena (añadida),m6/9,1-3b-5-6-9
22,séptima con novena bemol (añadida),7♭9,1-3-5-7b-9b
23,séptima con novena aumentada (añadida),7♯9,1-3-5-7b-9#
24,menor séptima con novena bemol (añadida),m7♭9,1-3b-5-7b-9b
25,séptima con oncena (añadida),7add11,1-3-5-7b-11
26,séptima con trecena (añadida),7add13,1-3-5-7b-13
27,novena,9,1-3-5-7b-9
28,menor novena,m9,1-3b-5-7b-9
29,novena con quinta bemol,9♭5,1-3-5b-7b-9
30,novena con quinta aumentada,9♯5,1-3-5#-7b-9
31,novena con cuarta suspendida,9sus4,1-4-5-7b-9
32,mayor novena,Maj9,1-3-5-7-9
33,menor novena mayor,mMaj9,1-3b-5-7-9
34,novena con sexta (añadida),9/6,1-3-5-6-7b-9
35,novena con oncena aumentada (añadida),9♯11,1-3-5-7b-9-11#
36,novena mayor con undécima aumentada (añadida),Maj9♯11,1-3-5-7-9-11#
37,undécima,11,1-3-5-7b-9-11
38,menor undécima,m11,1-3b-5-7b-9-11
39,undécima con novena bemol,11♭9,1-3-5-7b-9b-11
40,undécima con novena aumentada,11♯9,1-3-5-7b-9#-11
41,undécima mayor,Maj11,1-3-5-7-9-11
42,menor undécima mayor,mMaj11,1-3b-5-7-9-11
43,menor decimotercera,m13,1-3b-5-7b-9-11-13
44,decimotercera con cuarta suspendida,13sus4,1-4-5-7b-9-11-13
45,decimotercera con quinta bemol,13♭5,1-3-5b-7b-9-11-13
46,decimotercera con quinta aumentada,13♯5,1-3-5#-7b-9-11-13
47,treceava con novena bemol,13♭9,1-3-5-7b-9b-11-13
48,decimotercera con novena aumentada,13♯9,1-3-5-7b-9#-11-13
49,decimotercera con quinta y novena bemoles,13♭5♭9,1-3-5b-7b-9b-11-13
50,decimotercera con quinta bemol y novena aumentada,13♭5♯9,1-3-5b-7b-9#-11-13
51,decimotercera con quinta aumentada y novena bemol,13♯5♭9,1-3-5#-7b-9b-11-13
52,decimotercera con quinta y novena aumentadas,13♯5♯9,1-3-5#-7b-9#-11-13
53,decimotercera mayor,Maj13,1-3-5-7-9-11-13
54,menor decimotercera mayor,mMaj13,1-3b-5-7-9-11-13
55,decimotercera mayor con quinta bemol,Maj13♭5,1-3-5b-7-9-11-13
56,decimotercera mayor con quinta aumentada,Maj13♯5,1-3-5#-7-9-11-13
57,decimotercera mayor con novena bemol,Maj13♭9,1-3-5-7-9b-11-13
58,decimotercera mayor con novena aumentada,Maj13♯9,1-3-5-7-9#-11-13
59,decimotercera mayor con quinta y novena bemoles,Maj13♭5♭9,1-3-5b-7-9b-11-13
60,decimotercera mayor con quinta bemol y novena aumentada,Maj13♭5♯9,1-3-5b-7-9#-11-13
61,decimotercera mayor con quinta aumentada y novena bemol,Maj13♯5♭9,1-3-5#-7-9b-11-13
62,decimotercera mayor con quinta y novena aumentadas,Maj13♯5♯9,1-3-5#-7-9#-11-13
