id_chord,name,symbol,code
1,Trippledex,Edik,3 4 3 9 0 6 8 2 4 4
2,Andalax,Tracey,0 2 9 4 2 4 1 8 8 1
3,Prodder,Florencia,6 6 9 9 2 6 6 4 3 7
4,Bitwolf,Alvera,0 8 3 4 6 4 8 3 4 8
5,Flowdesk,Doreen,5 9 3 8 7 9 5 5 5 0
6,Tampflex,Jobina,1 9 2 7 5 9 3 7 6 3
7,Mat Lam Tam,Kylie,3 1 4 3 5 0 3 3 2 1
8,Flexidy,Karlie,8 0 9 5 0 2 9 9 4 1
9,Ventosanzap,Clarissa,3 6 8 6 4 7 9 7 6 6
10,Alphazap,Hayyim,9 2 2 8 4 8 9 0 3 0
11,Cookley,Viole,7 8 0 9 6 7 8 7 1 8
12,Bitchip,Hilarius,1 8 4 6 8 9 2 4 6 2
13,Matsoft,Scotti,7 2 4 3 8 6 5 2 7 8
14,Konklux,Karyl,1 5 1 0 7 4 9 7 4 4
15,Veribet,Christyna,5 0 0 8 8 2 8 9 0 6
16,Domainer,Terrijo,9 1 4 9 1 5 7 4 0 6
17,Lotstring,Josee,1 4 5 8 9 3 7 5 4 4
18,Stringtough,Phylys,2 4 9 7 8 5 1 0 3 5
19,Stronghold,Zebedee,5 7 5 4 5 7 8 3 1 6
20,Sub-Ex,Caleb,2 9 2 9 8 1 4 1 2 3
21,Tin,Daisy,5 6 6 0 6 4 3 5 5 5
22,Overhold,Maurits,5 1 7 0 2 4 3 3 4 2
23,Biodex,Tiffanie,9 7 2 5 2 8 8 3 3 3
24,Home Ing,Chet,0 8 3 4 6 8 8 8 0 4
25,Redhold,Belva,1 0 4 5 0 9 2 5 3 4
26,Zathin,Vickie,9 5 1 8 5 3 0 7 4 4
27,Namfix,Clementina,4 4 1 7 1 0 9 5 7 3
28,Keylex,Huntlee,6 6 1 9 4 9 2 2 9 2
29,Sonair,Mateo,9 3 4 3 4 7 1 6 2 0
30,Transcof,Mohammed,6 2 4 8 1 3 9 8 3 9
31,Duobam,Nani,2 5 2 7 8 1 5 4 0 1
32,Hatity,Sheri,6 6 2 2 3 1 9 5 5 4
33,Zaam-Dox,Tris,6 1 9 4 3 8 9 7 9 0
34,Zamit,Malena,3 9 5 9 8 6 7 0 1 8
35,Fintone,Pansy,3 4 8 6 5 9 0 7 3 9
36,Alpha,Gil,5 4 3 4 8 5 1 4 9 2
37,Vagram,Jenni,9 0 5 0 3 4 1 5 4 7
38,Daltfresh,Erna,3 3 3 8 2 2 6 9 9 2
39,Solarbreeze,Almeda,5 7 7 1 5 5 6 1 6 2
40,Regrant,Barnett,9 2 6 5 5 1 6 8 6 6
41,Sonsing,Eric,1 9 0 7 1 8 1 6 8 8
42,Pannier,Brooks,3 8 9 1 5 2 0 9 7 4
43,Gembucket,Bren,2 6 0 4 2 8 3 2 9 3
44,Latlux,Farrell,6 4 8 4 9 0 1 3 9 2
45,Bytecard,Arlee,3 9 2 3 3 5 6 7 4 7
46,Konklab,Rubi,5 8 3 2 3 4 6 2 4 7
47,Tempsoft,Othella,3 2 1 4 3 0 3 0 5 4
48,Tresom,Dru,6 1 4 5 0 6 4 5 3 5
49,Ronstring,Annabel,0 4 9 0 6 2 0 2 9 4
50,Zontrax,Reamonn,2 5 5 5 0 7 6 0 3 3
51,Temp,Mela,9 6 6 1 2 5 6 3 6 9
52,Job,Edee,4 9 2 5 6 5 3 8 7 8
53,Cardguard,Misti,3 7 3 3 7 0 7 7 8 0
54,Opela,Vanny,1 8 3 0 3 8 0 6 1 9
55,Holdlamis,Jarvis,7 6 5 1 4 9 3 6 4 5
56,Bigtax,Linda,5 7 1 1 4 1 8 4 0 8
57,It,Jeno,3 1 2 4 0 5 2 0 9 5
58,Span,Josiah,2 4 7 2 8 9 7 0 3 9
59,Fix San,Ferdy,9 3 2 7 3 8 0 1 4 4
60,Aerified,Aubrette,8 1 7 4 2 4 1 2 7 5
61,Rank,Janaya,2 7 9 4 0 6 3 5 3 1
62,Viva,Reta,6 3 3 1 5 4 8 8 5 0
63,Voltsillam,Sofia,8 4 3 9 6 5 0 0 9 7
64,Y-find,Hallie,5 2 0 7 0 0 2 3 8 3
65,Bamity,Patrizius,3 7 3 9 1 7 3 7 7 1
66,Fixflex,Waylon,3 5 1 0 2 6 2 8 3 6
67,Quo Lux,Janella,6 1 8 7 0 5 3 1 8 0
68,Otcom,Nomi,1 5 1 7 8 8 9 9 6 4
69,Greenlam,Ara,8 6 6 1 3 2 9 7 5 6
70,Lotlux,Vick,8 0 3 8 6 8 7 3 9 4
71,Toughjoyfax,Yevette,6 7 9 3 9 5 0 8 2 7
72,Asoka,Kimberli,5 6 7 1 7 4 0 6 2 7
73,Kanlam,Alfonso,2 4 0 8 7 6 7 0 1 9
74,Y-Solowarm,Trixy,9 6 6 0 0 8 7 3 2 3
75,Tres-Zap,Rosalyn,7 6 3 5 8 1 4 0 3 5
76,Treeflex,Shepard,3 2 4 8 2 8 3 2 5 5
77,Stim,Guillaume,0 8 5 7 8 3 4 4 6 9
78,Wrapsafe,Artair,6 1 6 3 9 7 3 6 9 8
79,Cardify,Pamella,8 6 0 3 3 3 8 4 6 7
80,Subin,Courtenay,7 7 7 0 3 1 3 6 6 8
81,Zoolab,Catha,3 8 5 3 6 7 8 4 3 5
82,Voyatouch,Gael,5 5 4 0 0 4 0 8 9 8
