chord_id_chord,tag_id_tag
44,28
37,38
27,27
22,49
59,72
28,73
17,19
29,48
24,50
49,10
50,44
24,31
24,13
13,20
5,47
40,3
27,62
4,81
45,54
9,69
12,25
31,3
26,54
60,13
61,26
38,43
25,57
10,62
38,32
20,66
23,21
55,18
7,78
8,1
44,27
28,55
13,75
35,27
56,10
45,12
51,75
11,16
2,77
52,13
4,5
1,42
10,10
38,39
49,22
5,9
60,39
35,15
8,25
49,1
53,71
61,30
18,34
23,9
32,12
3,43
11,6
30,39
16,82
56,19
47,30
23,78
40,18
54,13
22,14
61,57
27,30
22,5
18,49
49,38
56,73
55,50
17,47
10,32
24,82
49,26
35,56
61,60
36,67
56,61
26,11
46,20
1,65
18,77
39,75
21,42
56,17
38,16
52,40
6,22
14,74
38,27
60,62
28,56
42,4
3,14
35,33
20,65
52,17
27,71
44,4
25,4
54,65
49,9
45,53
17,82
29,59
40,68
44,72
19,49
59,32
16,20
23,23
34,77
33,55
27,43
29,56
11,18
3,17
15,14
8,41
36,19
5,16
10,46
61,76
14,16
26,74
6,28
49,35
7,76
39,33
52,19
50,27
43,13
48,42
31,6
2,35
19,19
36,23
33,62
16,16
30,76
57,16
37,24
39,2
47,33
11,58
22,31
30,19
4,78
18,70
50,74
30,71
54,12
59,65
28,58
25,82
28,15
59,67
29,62
54,34
11,76
33,43
31,67
13,2
42,12
57,59
30,4
37,82
47,44
11,28
3,67
51,43
39,61
30,68
14,19
61,45
39,57
28,14
5,63
57,45
39,41
13,22
17,21
27,50
40,53
28,61
26,79
24,27
61,79
17,36
18,1
26,67
57,11
48,3
38,23
45,32
60,15
60,25
19,2
3,29
4,40
26,48
47,34
35,4
37,18
27,35
38,61
24,11
17,5
27,51
42,82
30,63
33,70
19,21
61,48
11,15
21,35
54,18
7,11
45,3
3,19
44,38
56,58
55,45
18,27
24,63
59,42
3,23
20,11
55,39
51,1
40,50
8,42
3,2
6,53
8,4
5,14
33,20
12,16
44,56
19,58
41,31
34,72
12,46
35,55
60,37
53,31
22,21
45,76
42,64
22,64
30,69
26,78
18,5
31,27
31,16
9,20
8,71
1,64
14,36
25,53
25,43
28,77
21,33
3,60
5,79
59,47
10,55
56,42
5,17
26,62
35,50
58,28
26,19
33,31
40,32
59,63
35,17
30,32
32,51
17,32
24,53
52,52
59,22
45,60
